home,win,home_seasonWins,home_seasonLosses,home_seasonGames,home_avg_teamScore,home_avg_opponentScore,home_avg_assists,home_avg_blocks,home_avg_steals,home_avg_freeThrowsAttempted,home_avg_reboundsTotal,home_avg_turnovers,home_avg_plusMinusPoints,home_avg_fieldGoalsAttempted,home_avg_threePointersAttempted,home_avg_fieldGoalsPercentage,home_avg_threePointersPercentage,home_avg_freeThrowsPercentage,away_seasonWins,away_seasonLosses,away_seasonGames,away_avg_teamScore,away_avg_opponentScore,away_avg_assists,away_avg_blocks,away_avg_steals,away_avg_freeThrowsAttempted,away_avg_reboundsTotal,away_avg_turnovers,away_avg_plusMinusPoints,away_avg_fieldGoalsAttempted,away_avg_threePointersAttempted,away_avg_fieldGoalsPercentage,away_avg_threePointersPercentage,away_avg_freeThrowsPercentage,h2h_win_rate
1,1,77,21,98,100.4,92.7,23.0,6.5,7.3,29.4,46.6,13.6,7.8,82.8,13.2,0.459,0.326,0.688,69,28,97,96.8,90.5,22.9,4.7,7.7,25.4,42.3,14.7,6.2,77.6,13.9,0.469,0.359,0.765,0.5
1,1,78,21,99,100.3,92.6,23.1,6.5,7.3,29.5,46.5,13.6,7.7,82.6,13.2,0.46,0.326,0.686,67,32,99,100.2,95.9,22.3,5.1,6.6,24.4,41.8,13.6,4.3,80.6,18.2,0.456,0.386,0.817,0.0
1,1,79,21,100,100.4,92.5,23.1,6.5,7.3,29.4,46.5,13.6,7.8,82.6,13.2,0.46,0.325,0.685,67,33,100,100.1,96.0,22.2,5.1,6.6,24.3,41.8,13.6,4.1,80.6,18.2,0.456,0.386,0.816,1.0
1,1,67,34,101,100.1,96.1,22.2,5.1,6.6,24.5,41.8,13.5,4.0,80.7,18.2,0.455,0.385,0.817,80,21,101,100.5,92.7,23.1,6.5,7.3,29.6,46.5,13.5,7.8,82.5,13.2,0.46,0.327,0.684,0.0
1,0,68,34,102,100.1,96.1,22.1,5.1,6.6,24.5,41.8,13.5,4.0,80.6,18.2,0.455,0.385,0.817,80,22,102,100.4,92.7,23.1,6.5,7.3,29.5,46.4,13.6,7.7,82.5,13.3,0.461,0.328,0.681,0.333
1,1,68,35,103,100.3,96.3,22.1,5.0,6.6,24.5,41.7,13.4,4.0,80.7,18.2,0.455,0.386,0.818,81,22,103,100.6,93.0,23.1,6.5,7.3,29.5,46.3,13.5,7.6,82.6,13.3,0.461,0.328,0.681,0.25
1,1,81,23,104,100.4,93.2,23.1,6.4,7.3,29.4,46.2,13.5,7.2,82.6,13.3,0.461,0.327,0.68,69,35,104,100.5,96.2,22.1,5.0,6.6,24.6,41.8,13.4,4.3,80.5,18.2,0.457,0.387,0.818,0.6
1,1,53,29,82,97.1,92.4,25.7,5.6,8.1,27.8,40.6,15.8,5.0,76.7,10.4,0.473,0.37,0.753,53,29,82,100.5,96.2,21.2,6.0,7.5,23.8,41.5,13.9,4.3,81.9,16.5,0.461,0.38,0.794,0.0
1,1,58,24,82,96.2,88.4,21.7,7.0,6.9,28.5,44.1,14.0,8.0,76.4,13.3,0.462,0.407,0.712,47,35,82,97.3,96.0,25.4,5.6,8.3,21.2,42.3,13.9,1.6,83.8,11.0,0.459,0.356,0.784,0.0
1,0,50,32,82,88.9,86.6,19.9,3.7,7.7,22.9,39.6,13.7,2.3,76.3,16.9,0.431,0.345,0.754,46,36,82,91.9,89.8,23.2,5.5,8.1,26.2,44.4,14.4,2.4,79.3,12.0,0.433,0.34,0.743,0.0
1,0,56,26,82,94.7,90.4,20.6,5.0,8.4,27.8,44.8,15.8,4.3,79.1,9.8,0.448,0.319,0.752,41,41,82,92.6,92.8,21.5,5.9,6.9,24.5,42.9,15.2,-0.2,78.4,14.1,0.441,0.341,0.768,0.0
